timestamp,open,high,low,close,volume
2024-01-23,2314.36,2351.18,2168.05,2242.42,121641.48457866
2024-01-24,2242.42,2264.61,2196.07,2234.87,65237.64360583
2024-01-25,2234.87,2242.42,2171.47,2219.26,60769.21881015
2024-01-26,2218.96,2281.86,2196.15,2267.87,61578.94957909
2024-01-27,2267.87,2282.81,2251.49,2267.93,24479.89800496
2024-01-28,2267.93,2308.2,2239.63,2256.83,39951.99953001
2024-01-29,2256.83,2322.33,2234.16,2317.43,71875.00900006
2024-01-30,2317.44,2392.2,2297.12,2343.09,89057.69142898
2024-01-31,2343.09,2351.78,2263.0,2283.2,135320.90217669
2024-02-01,2283.21,2311.47,2240.84,2304.08,100469.97135559
2024-02-02,2304.09,2324.98,2282.36,2308.98,66477.78659842
2024-02-03,2308.99,2329.79,2293.02,2296.69,34416.50812821
2024-02-04,2296.7,2311.38,2267.18,2289.63,53114.80080358
2024-02-05,2289.64,2338.57,2269.23,2301.87,71249.90368625
2024-02-06,2301.87,2392.39,2298.99,2372.72,80920.79384811
2024-02-07,2372.72,2444.82,2354.36,2424.65,78664.23408113
2024-02-08,2425.07,2463.44,2411.77,2419.55,80026.44773261
2024-02-09,2419.55,2524.98,2419.06,2486.51,115536.72627256
2024-02-10,2486.52,2516.78,2471.7,2500.39,48985.0500551
2024-02-11,2500.39,2539.67,2493.26,2507.13,56182.02258935
2024-02-12,2507.4,2665.0,2471.63,2659.36,115594.87406637
2024-02-13,2659.91,2685.93,2590.04,2640.42,134085.43794366
2024-02-14,2640.42,2786.19,2618.51,2775.1,114915.77223588
2024-02-15,2774.92,2866.99,2759.61,2822.63,153903.9066353
2024-02-16,2822.77,2857.43,2742.34,2802.03,118519.67267412
2024-02-17,2802.03,2804.2,2718.94,2786.0,81359.75722138
2024-02-18,2786.01,2895.01,2765.01,2880.97,91604.25171011
2024-02-19,2880.97,2985.4,2857.14,2944.76,129146.03708073
2024-02-20,2944.27,3032.66,2874.04,3014.85,161999.9824266
2024-02-21,3014.74,3017.33,2869.37,2968.3,136186.11276141
2024-02-22,2968.3,3035.84,2906.53,2971.07,121539.78329062
